Origen;Destino;Distancia;Duracion
Zambrano;Calamar;103;117
Clemencia;San Jacinto;150;156
Talaigua Nuevo;Turbana;237;256
Altos Del Rosario;Villanueva;525;668
Rio Viejo;San Cristobal;473;562
San Juan Nemopuceno;Cordoba;84;122
Achi;Magangue;226;273
El Penon;Maria La Baja;468;601
Cantagallo;San Pablo;12;15
Arjona;Norosi;422;492
Cicuco;Tiquisio;307;399
El Guamo;Hatillo De Loba;277;309
Regidor;Santa Catalina;520;599
Turbaco;San Estanislao;7;62
Arenal;El Carmen De Bol var;73;111
Soplaviento;Santa Cruz De Mompox;271;292
Montecristo;Mahates;368;413
Arroyohondo;Margarita;293;320
Cartagena De Indias;Santa Rosa;16;28
Calamar;Clemencia;92;111
San Jacinto;Talaiga Nuevo;150;165
Turbana;Altos del Rosario;494;630
Villanueva;Rio Viejo;484;583
San Cristobal;San Juan Nemopuceno;76;100
Cordoba;Achi;273;301
Magangue;El Penon;393;564
Arjona;Maria la Baja;43;54
San Pablo;Cantagallo;12;15
Norosi;Cicuco;338;450
Tiquisio;El Guamo;359;415
Hatillo De Loba;Regidor;476;631
Santa Catalina;Turbaco;43;50
San Estanislao;Arenal;468;564
El Carmen De Bolivar;Soplaviento;110;124
Santa Cruz De Mompox;Montecristo;324;423
Mahates;Arroyohondo;21;27
Margarita;Cartagena De Indias;326;395
